word1,word2,lift_value
caramel,boozy,0.8143465909090909
thick,roasted,0.41063658340048353
thick,balanced,0.2928197113174588
thick,thin,0.3072544858190237
thick,funk,0.07654409997596731
thick,deep,0.5166726748377793
thick,bodied,0.41552511415525106
thick,vintage,0.1896962477665277
thick,boozy,0.6817208904109588
roasted,balanced,0.7544413738649822
roasted,thin,0.31665285832642914
roasted,funk,0.0
roasted,deep,0.2958204334365325
roasted,bodied,0.5352941176470588
roasted,vintage,0.16291560102301791
roasted,boozy,0.6147518382352941
balanced,thin,0.0
balanced,funk,0.45001766160367357
balanced,deep,0.0843783115506888
balanced,bodied,0.6979865771812079
balanced,vintage,0.09293843011380215
balanced,boozy,0.8015939597315436
thin,funk,0.11805040770941437
thin,deep,0.4426890289103039
